ID,exam_id,question,answer_type,sort_order,cat_id,random_per_category,Explanation,is_required,correct_condition,max_selections,is_inactive,is_survey,elaborate_explanation,open_end_mode,tags,open_end_display,exclude_on_final_screen,hints,compact_format,round_points,importance,calculate_whole,unanswered_penalty,truefalse,accept_feedback,feedback_label,reward_only_correct,discard_even_negative,correct_gap_points,incorrect_gap_points,sorting_answers,difficulty_level,num_columns,design,allow_checkbox_groups,gaps_as_dropdowns,slider_transfer_points,is_flashcard,dont_randomize_answers,reduce_points_per_hint,reduce_hint_points_to_zero,accept_rating,file_upload_required,no_negative,max_allowed_points,limit_words,title,dont_explain_unanswered,use_wpautop,min_selections
200066,648,"מהו הערך הבינארי של המספר העשרוני 193? {{{11000001}}}<br /><br />הצג את דרך החישוב או תאר כיצד ביצעת את החישוב: {{{אין אפשרות לבדוק את זה}}}",gaps,1,6,0,"<b>התשובה הנכונה:</b> 11000001<br><br><b>הסבר:</b><br>כדי להמיר את המספר העשרוני 193 לבינארי, משתמשים בשיטת החזקות של 2: 128, 64, 32, 16, 8, 4, 2, 1.<br>המספר 193 מורכב מחיבור של הערכים: 128 + 64 + 1. לכן, יש \"להדליק\" (1) את הביטים במיקומים אלו, ואת השאר לאפס (0).<br>התוצאה (משמאל לימין): הביט של 128 (1), הביט של 64 (1), הביטים של 32, 16, 8, 4, 2 (כולם 0), והביט של 1 (1).<br>התוצאה הסופית: 11000001.",0,any,0,0,0,,,,medium,0,,0,0,0,0,0.00,0,0,,0,0,1.00,0.00,,Easy,1,,0,0,0,0,0,0.00,0,0,0,0,0.00,0,,0,0,0
200067,648,"איזה פרוטוקול מאפשר העברה והצגה של תמונות או סרטונים ברשת האינטרנט?",radio,2,53,0,"<b>התשובה הנכונה:</b> HTTP<br><br><b>הסבר:</b><br><b>HTTP</b> (Hypertext Transfer Protocol) הוא הפרוטוקול בשכבת היישום שמאפשר העברת דפי אינטרנט, תמונות, וסרטונים בין שרת לדפדפן.<br><br><b>מדוע שאר התשובות שגויות?</b><br><ul><li><b>DHCP:</b> (Dynamic Host Configuration Protocol) תפקידו שונה לחלוטין - הוא מחלק אוטומטית כתובות IP ונתוני רשת לתחנות, ולא מעביר מדיה או דפי רשת.</li><li><b>DNS:</b> (Domain Name System) משמש כ\"ספר טלפונים\" של הרשת המתרגם שמות (כמו google.com) לכתובות IP, ולא נועד להעברת תמונות או סרטונים עצמם.</li><li><b>APIPA:</b> (Automatic Private IP Addressing) זהו מנגנון של מערכת ההפעלה המקצה לעצמה כתובת IP (בטווח 169.254.x.x) כאשר שרת ה-DHCP לא זמין. אין לו שום קשר להעברת נתונים בדפדפן.</li></ul>",0,any,0,0,0,,loose,,medium,0,,0,0,0,0,0.00,0,0,,0,0,1.00,0.00,,Medium,1,,0,0,0,0,0,0.00,0,0,0,0,0.00,0,,0,0,0
200068,648,"לפניכם היגדים המתייחסים לכתובת ה- IP הבאה: 192.15.3.0/24.<br />קבעו לגבי כל אחד מההיגדים אם הוא נכון או לא נכון.<br /><br />א. כתובת זו היא כתובת של רשת. {{{נכון|לא נכון}}}<br /><br />ב. כתובת זו שייכת ל- Class B. {{{לא נכון|נכון}}}<br /><br />ג. מסכת הרשת של כתובת זו היא 255.255.0.0. {{{לא נכון|נכון}}}<br /><br />ד. כתובת זו היא כתובת ציבורית. {{{נכון|לא נכון}}}",gaps,3,48,0,"<b>הסבר כללי על הכתובת 192.15.3.0/24:</b><br>זוהי כתובת IP עם קידומת /24 (מסכת 255.255.255.0).<br><br><b>ניתוח ההיגדים:</b><br><ul><li><b>א. כתובת זו היא כתובת של רשת (נכון):</b> מאחר והמסכה היא /24, שלושת האוקטטות הראשונות מייצגות את הרשת (192.15.3) והאחרונה את המארחים. כשהאוקטטה האחרונה כולה אפסים (0), זוהי אכן כתובת הרשת.</li><li><b>ב. כתובת זו שייכת ל- Class B (לא נכון):</b> האוקטטה הראשונה היא 192. לפי חלוקת ה-Classes, מחלקה B מסתיימת ב-191, ומחלקה C מתחילה ב-192. לכן זו כתובת ממחלקה C.</li><li><b>ג. מסכת הרשת של כתובת זו היא 255.255.0.0 (לא נכון):</b> הקידומת /24 משמעותה 24 ביטים \"דלוקים\", ולכן המסכה היא 255.255.255.0 (ולא 255.255.0.0 שמתאימה ל-/16).</li><li><b>ד. כתובת זו היא כתובת ציבורית (נכון):</b> טווח הכתובות הפרטיות במחלקה C הוא 192.168.0.0 עד 192.168.255.255. הכתובת שלנו (192.15) אינה בטווח הפרטי, ולכן היא חייבת להיות כתובת ציבורית הניתנת לניתוב באינטרנט.</li></ul>",0,any,0,0,0,,,,medium,0,,0,0,0,0,0.00,0,0,,0,0,0.25,0.00,,Hard,1,,0,1,0,0,0,0.00,0,0,0,0,0.00,0,,0,0,0
200069,648,"איזו כתובת, מבין הכתובות הבאות, היא כתובת APIPA חוקית לשימוש?",radio,4,48,0,"<b>התשובה הנכונה:</b> 169.254.0.10<br><br><b>הסבר וניתוח שאר התשובות:</b><br>כאשר שרת ה-DHCP אינו זמין, מערכת ההפעלה מקצה לעצמה כתובת בטווח APIPA שהוא: 169.254.0.0 עד 169.254.255.255.<br><ul><li><b>169.254.0.10 (התשובה הנכונה):</b> זוהי כתובת מארח תקינה (Unicast) הנמצאת בתוך הטווח המותר.</li><li><b>127.0.0.1 (תשובה שגויה):</b> זוהי כתובת Loopback (חזרור) המשמשת לבדיקה עצמית של כרטיס הרשת (Localhost), ואינה קשורה כלל ל-APIPA.</li><li><b>169.254.255.255 (תשובה שגויה):</b> אמנם היא בטווח של APIPA, אך זוהי כתובת השידור (Broadcast) של רשת זו. לעולם לא ניתן להגדיר כתובת שידור על מחשב קצה.</li><li><b>169.254.0.0 (תשובה שגויה):</b> זוהי כתובת הרשת (Network Address) עצמה. בדומה לכתובת השידור, לא ניתן לחלק אותה למחשב או מכשיר קצה.</li></ul>",0,any,0,0,0,,loose,||,medium,0,,0,0,0,0,0.00,0,0,,0,0,1.00,0.00,,Hard,1,,0,0,0,0,0,0.00,0,0,0,0,0.00,0,,0,0,0
200070,648,"התבקשתם להגדיר שם לנתב החדש בחברה שלכם, השם שעליכם להגדיר הוא EXAM (שימו לב לאותיות גדולות\\קטנות!).<br />השלימו את הפקודה הבאה להגדרת שם הנתב.<br /><p dir=\'ltr\' style=\'direction: ltr;\'>Router&gt;enable<br />Router# {{{configure terminal|conf t|configure t|config terminal|conf terminal|config term}}}<br />Router(config)# {{{hostname EXAM|host EXAM}}}</p>",gaps,5,49,0,"<b>התשובות הנכונות לפקודות:</b><br>1. configure terminal (או conf t)<br>2. hostname EXAM<br><br><b>הסבר:</b><br><ul><li><b>השלב הראשון (configure terminal):</b> לאחר שהמשתמש ביצע את פקודת ה-`enable` כדי לעבור ממצב \'משתמש רגיל\' למצב \'ניהול\' (Privileged EXEC), עליו לעבור למצב \'הגדרות גלובליות\' (Global Configuration Mode) כדי לשנות פרמטרים המשפיעים על כל הנתב. הפקודה לכך היא `configure terminal` (או בקיצור `conf t`). הפרומפט ישתנה ל-`(config)#`.</li><li><b>השלב השני (hostname EXAM):</b> במצב הגדרות, הפקודה המשמשת לשינוי שם הרכיב היא `hostname` ולאחריה השם המבוקש. הקפדה על אותיות גדולות כפי שנדרש היא קריטית במערכות סיסקו, ולכן הפקודה המדויקת היא `hostname EXAM`.</li></ul>",0,any,0,0,0,,,,medium,0,,0,0,0,0,0.00,0,0,,0,0,0.50,0.00,,Medium,1,,0,0,0,0,0,0.00,0,0,0,0,0.00,0,,0,0,0
200071,648,"להלן טופולוגיה:<br /><br /><a href=\'https://tikshuv-ccna.com/wp-content/uploads/2025/01/2_coomputers_topology_connection.jpg\' target=\'_blank\' rel=\'noopener\'><img class=\'aligncenter wp-image-7519 size-medium\' src=\'https://tikshuv-ccna.com/wp-content/uploads/2025/01/2_coomputers_topology_connection-300x125.jpg\' alt=\'\' width=\'300\' height=\'125\' /></a>כתבו את הפקודה המאפשרת לבדוק קישוריות תקינה שיוצאת מהמחשב של תלמיד 1 למחשב של תלמיד 2:<br /><br />{{{ping 192.168.1.2}}}",gaps,6,218,0,"<b>התשובה הנכונה:</b> ping 192.168.1.2<br><br><b>הסבר:</b><br>בטופולוגיה ניתן לראות שהמחשב של \"תלמיד 1\" מחזיק בכתובת המקור 192.168.1.1, ואילו המחשב של \"תלמיד 2\" (היעד אליו נדרש לבדוק את הקישוריות) מחזיק בכתובת 192.168.1.2.<br><br>פקודת ה-<b>ping</b> היא כלי בסיסי לבדיקת קישוריות (Connectivity) בין רכיבים. היא שולחת הודעות ICMP Echo ליעד וממתינה לתשובה. כדי לבצע את הבדיקה בהצלחה מתלמיד 1, יש להקליד את הפקודה `ping` בתוספת כתובת ה-IP של ציוד **היעד**. לכן, הקלדה של כתובת היעד במלואה - `ping 192.168.1.2` - היא הפעולה הנכונה.",0,any,0,0,0,,,,medium,0,,0,0,0,0,0.00,0,0,,0,0,1.00,0.00,,Medium,1,,0,0,0,0,0,0.00,0,0,0,0,0.00,0,,0,0,0
200072,648,"מהו הערך העשרוני (בסיס 10) של המספר הבינארי 101111? {{{47}}}<br /><br />רשמו את דרך החישוב או הסבירו כיצד חישבתם? {{{אין אפשרות להציג תשובה}}}",gaps,7,6,0,"<b>התשובה הנכונה:</b> 47<br><br><b>הסבר ודרך חישוב:</b><br>כדי להמיר מספר בינארי לעשרוני, מציבים את הביטים מתחת לערכי החזקות של 2, מימין לשמאל: 1, 2, 4, 8, 16, 32.<br>המספר שלנו הוא 101111.<br>נכפיל ונחבר את הערכים שבהם מופיע הספרה \'1\':<br>הביט הימני: 1 * 1 = 1<br>הביט הבא: 1 * 2 = 2<br>הביט הבא: 1 * 4 = 4<br>הביט הבא: 1 * 8 = 8<br>הביט הבא: 0 * 16 = 0 (מדלגים)<br>הביט השמאלי: 1 * 32 = 32<br>נסכם הכל: 32 + 8 + 4 + 2 + 1 = <b>47</b>.",0,any,0,0,0,,,||,medium,0,,0,0,0,0,0.00,0,0,,0,0,1.00,0.00,,Easy,0,,0,0,0,0,0,0.00,0,0,0,0,0.00,0,,0,0,0
200073,648,"איזה פרוטוקול מאפשר למצוא כתובות IP של אתרי אינטרנט?",radio,8,53,0,"<b>התשובה הנכונה:</b> DNS<br><br><b>הסבר מפורט:</b><br><b>DNS</b> (Domain Name System) הוא השירות שאחראי על תרגום שמות אתרים קריאים לבני אדם (למשל www.google.com) לכתובות ה-IP המספריות שלהם (למשל 142.250.186.46), כדי שהדפדפן ידע לאן לפנות.<br><br><b>מדוע שאר התשובות שגויות?</b><br><ul><li><b>VTP:</b> (VLAN Trunking Protocol) זהו פרוטוקול של סיסקו המשמש לסנכרון הגדרות של VLANs בין מתגים שונים ברשת פנימית. אין לו קשר לאתרי אינטרנט או תרגום שמות.</li><li><b>HTTPS:</b> (Hypertext Transfer Protocol Secure) הוא הפרוטוקול שמאפשר גלישה והעברת נתונים מוצפנת ומאובטחת בין הלקוח לאתר, אך הוא לא זה ש\"מוצא\" או מתרגם את כתובת ה-IP עצמה.</li><li><b>DHCP:</b> תפקידו לחלק כתובות IP ונתוני רשת (כגון Default Gateway ו-DNS Server) בצורה אוטומטית למחשבים ברשת המקומית, ולא למצוא כתובות IP של שרתים באינטרנט.</li></ul>",0,any,0,0,0,,loose,,medium,0,,0,0,0,0,0.00,0,0,,0,0,1.00,0.00,,Easy,1,,0,0,0,0,0,0.00,0,0,0,0,0.00,0,,0,0,0
200074,648,"לפניכם היגדים המתייחסים לכתובת ה- IP הבאה: 172.16.3.0/16<br />קבעו לגבי כל אחד מההיגדים אם הוא נכון או לא נכון.<br /><br />א. לפי כתובת זו ניתן להגדיר רק 512 מחשבים. {{{לא נכון|נכון}}}<br /><br />ב. מסכת הרשת של כתובת זו היא 255.255.255.0. {{{לא נכון|נכון}}}",gaps,9,48,0,"<b>הסבר כללי על הכתובת 172.16.3.0/16:</b><br>קידומת ה-/16 אומרת ש-16 הביטים הראשונים הם הרשת, ו-16 הביטים הנותרים (מתוך 32) הם עבור המארחים.<br><br><b>ניתוח ההיגדים:</b><br><ul><li><b>א. לפי כתובת זו ניתן להגדיר רק 512 מחשבים (לא נכון):</b> מכיוון שנשארו לנו 16 ביטים עבור המארחים (Hosts), כמות המחשבים שניתן להגדיר מחושבת כך: 2 בחזקת 16, פחות 2 (כתובת הרשת וכתובת השידור). התוצאה היא 65,534 מארחים אפשריים, ולא 512.</li><li><b>ב. מסכת הרשת של כתובת זו היא 255.255.255.0 (לא נכון):</b> מכיוון שהקידומת היא /16 (כלומר שתי האוקטטות הראשונות מלאות), מסכת הרשת התואמת היא 255.255.0.0. המסכה 255.255.255.0 מתאימה לקידומת /24.</li></ul>",0,all,0,0,0,,,,medium,0,,0,0,0,0,0.00,0,0,,0,0,0.50,0.00,,Easy,1,,0,1,0,0,0,0.00,0,0,0,0,0.00,0,,0,0,0
200075,648,"באיזו שיטת שידור נשלח המידע מתחנה אחת לקבוצה של מחשבים בתוך הרשת המקומית?",radio,10,48,0,"<b>התשובה הנכונה:</b> multicast (שידור רב-נמענים)<br><br><b>הסבר וניתוח התשובות:</b><br><ul><li><b>multicast (התשובה הנכונה):</b> זוהי שיטת שידור שבה מידע נשלח מתחנה אחת אל **קבוצה ספציפית** של תחנות שמעוניינות לקבל את המידע (One to Many). זוהי דרך יעילה מאוד, למשל, להעברת שידורי וידאו ברשת מבלי להציף תחנות אחרות.</li><li><b>broadcast (תשובה שגויה):</b> שידור שבו המידע נשלח מתחנה אחת אל **כל** התחנות שנמצאות באותו מתחם רשת (One to All). השאלה התייחסה ל\"קבוצה של מחשבים\" ולא לכולם, ולכן Broadcast שגוי.</li><li><b>unicast (תשובה שגויה):</b> שידור שבו המידע נשלח מתחנה אחת אל תחנה **אחת בודדת** ויחידה (One to One).</li><li><b>all-to-all (תשובה שגויה):</b> אין שיטת שידור כזו במינוח הרשמי של רשתות מחשבים תקניות; זהו מסיח דמיוני שנועד לבלבל.</li></ul>",0,any,0,0,0,,loose,,medium,0,,0,0,0,0,0.00,0,0,,0,0,1.00,0.00,,"Very Easy",1,,0,0,0,0,0,0.00,0,0,0,0,0.00,0,,0,0,0
